address_1,name,units,year_built,community
2307 S Austin St,Park Place Apartments,,,
500 College Ave,Brenham Park Apartments,57,,Brenham Park Apartments
705 S Jackson St,Brenham Park Apartments,57,,Brenham Park Apartments
1825 S Berlin Rd,S Berlin Rd Apartments,,,S Berlin Rd Apartments
1835 S Berlin Rd,S Berlin Rd Apartments,,,S Berlin Rd Apartments
1140 12th St,Lamplighter Apartments,,,Lamplighter Apartments
1235 11th St,Lamplighter Apartments,,,Lamplighter Apartments
203 Maler Rd,Whispering Oaks Apartment Homes,,,
1000 Gunnison St,Vail Apartments,,,Vail Apartments
1002 Gunnison St,Vail Apartments,,,Vail Apartments
1005 Gunnison St,Vail Apartments,,,Vail Apartments
1006 Gunnison St,Vail Apartments,,,Vail Apartments
1007 Gunnison St,Vail Apartments,,,Vail Apartments
1009 Gunnison St,Vail Apartments,,,Vail Apartments
1012 Gunnison St,Vail Apartments,,,Vail Apartments
1501 Vail St,Vail Apartments,,,Vail Apartments
1505 Vail St,Vail Apartments,,,Vail Apartments
1507 Vail St,Vail Apartments,,,Vail Apartments
