id,address_type,latitude,longitude,address_1,address_2,address_city,address_state,address_zip,zip_plus4,bedrooms,bathrooms,square_feet,year_built,company_name,listing_amount,price_per_sf,last_listing_creation_time,last_listing_deactivation_time,property_listing_status,distance_miles,url,amenities,community_unit_count
2307 S Austin St|Apt 13|2026-06-10 18:58:04,apartment,30.147326,-96.394325,2307 S Austin St,Apt 13,Brenham,TX,77833,,2,2,1178,1979,Bold Virtue Management,1500,1.27,2026-06-10 18:58:04,2026-07-14 12:08:53,inactive,0.114,,,27
2307 S Austin St|Apt 20|2026-05-17 00:36:23,apartment,30.147326,-96.394325,2307 S Austin St,Apt 20,Brenham,TX,77833,,2,1,920,1979,Bold Virtue Management,1275,1.39,2026-05-17 00:36:23,2026-06-17 06:36:31,inactive,0.114,,,27
2307 S Austin St|Apt 25|2026-05-15 04:14:00,apartment,30.147326,-96.394325,2307 S Austin St,Apt 25,Brenham,TX,77833,,2,1,920,1979,Bold Virtue Management,1275,1.39,2026-05-15 04:14:00,2026-05-21 03:38:25,inactive,0.114,,,27
2307 S Austin St|Apt 16|2026-04-30 03:50:33,apartment,30.147326,-96.394325,2307 S Austin St,Apt 16,Brenham,TX,77833,,2,1,948,1979,Bold Virtue Management,1275,1.34,2026-04-30 03:50:33,2026-06-05 07:33:49,inactive,0.114,,,27
2307 S Austin St|Apt 3|2026-01-23 17:59:39,apartment,30.147326,-96.394325,2307 S Austin St,Apt 3,Brenham,TX,77833,,2,1,920,1979,Bold Virtue Management,1275,1.39,2026-01-23 17:59:39,2026-04-17 08:04:12,inactive,0.114,,,27
2307 S Austin St|Apt 4|2026-01-16 01:19:35,apartment,30.147326,-96.394325,2307 S Austin St,Apt 4,Brenham,TX,77833,,2,1,948,1979,Bold Virtue Management,1275,1.34,2026-01-16 01:19:35,2026-05-10 08:37:04,inactive,0.114,,,27
2307 S Austin St|Apt 27|2025-09-12 20:03:01,apartment,30.147326,-96.394325,2307 S Austin St,Apt 27,Brenham,TX,77833,,1,1,450,1979,Bold Virtue Management,1025,2.28,2025-09-12 20:03:01,2025-10-17 15:44:06,inactive,0.114,,,27
306 W Bryan St||2026-02-12 11:05:34,apartment,30.151714,-96.396515,306 W Bryan St,,Brenham,TX,77833,,1,1,500,1939,We Manage Properties,850,1.7,2026-02-12 11:05:34,2026-05-01 18:29:04,inactive,0.218,,,1
601 Atlow Dr||2026-06-05 08:35:43,apartment,30.14876,-96.398804,601 Atlow Dr,,Brenham,TX,77833,,2,1,1172,1960,We Manage Properties,1450,1.24,2026-06-05 08:35:43,,active,0.238,,,1
347 Stone Hill Dr|Apt 3|2026-06-24 09:55:22,apartment,30.147694,-96.389496,347 Stone Hill Dr,Apt 3,Brenham,TX,77833,,2,2,1096,2000,We Manage Properties,1200,1.09,2026-06-24 09:55:22,,active,0.330,,,4
