id,address_type,latitude,longitude,address_1,address_2,address_city,address_state,address_zip,zip_plus4,bedrooms,bathrooms,square_feet,year_built,company_name,listing_amount,price_per_sf,last_listing_creation_time,last_listing_deactivation_time,property_listing_status,distance_miles,url,amenities,community_unit_count
203 Maler Rd|Apt 4|2026-06-06 03:08:22,apartment,29.7915,-96.159157,203 Maler Rd,Apt 4,Sealy,TX,77474,,1,1,576,1982,OAR Realty Partners,900,1.56,2026-06-06 03:08:22,2026-06-09 01:48:52,inactive,0.749,,,36
203 Maler Rd|Apt 29|2026-05-01 00:18:22,apartment,29.7915,-96.159157,203 Maler Rd,Apt 29,Sealy,TX,77474,,2,1,840,1982,OAR Realty Partners,1100,1.31,2026-05-01 00:18:22,2026-06-05 01:23:39,inactive,0.749,,,36
203 Maler Rd|Apt 18|2026-03-13 22:14:17,apartment,29.7915,-96.159157,203 Maler Rd,Apt 18,Sealy,TX,77474,,2,1,750,1982,OAR Realty Partners,1025,1.37,2026-03-13 22:14:17,2026-05-16 03:06:59,inactive,0.749,,,36
203 Maler Rd|Apt 26|2026-02-17 23:33:14,apartment,29.7915,-96.159157,203 Maler Rd,Apt 26,Sealy,TX,77474,,2,1,840,1982,OAR Realty Partners,1050,1.25,2026-02-17 23:33:14,2026-04-16 12:56:03,inactive,0.749,,,36
203 Maler Rd|Apt 34|2025-07-15 05:39:00,apartment,29.7915,-96.159157,203 Maler Rd,Apt 34,Sealy,TX,77474,,2,1,840,1982,OAR Realty Partners,1100,1.31,2025-07-15 05:39:00,2025-09-05 02:29:58,inactive,0.749,,,36
203 Maler Rd|Apt 30|2025-06-19 02:52:40,apartment,29.7915,-96.159157,203 Maler Rd,Apt 30,Sealy,TX,77474,,2,1,840,1982,OAR Realty Partners,1100,1.31,2025-06-19 02:52:40,2025-07-04 04:57:27,inactive,0.749,,,36
203 Maler Rd|Apt 1|2025-05-28 03:18:31,apartment,29.7915,-96.159157,203 Maler Rd,Apt 1,Sealy,TX,77474,,1,1,576,1982,OAR Realty Partners,900,1.56,2025-05-28 03:18:31,2025-09-13 01:39:31,inactive,0.749,,,36
203 Maler Rd|Apt 22|2025-04-25 00:18:13,apartment,29.7915,-96.159157,203 Maler Rd,Apt 22,Sealy,TX,77474,,2,1,840,1982,OAR Realty Partners,1100,1.31,2025-04-25 00:18:13,2025-05-07 00:07:13,inactive,0.749,,,36
203 Maler Rd|Apt 28|2025-04-25 00:18:13,apartment,29.7915,-96.159157,203 Maler Rd,Apt 28,Sealy,TX,77474,,2,1,840,1982,OAR Realty Partners,1050,1.25,2025-04-25 00:18:13,2025-05-28 00:23:42,inactive,0.749,,,36
203 Maler Rd|Apt 11|2025-03-29 04:26:05,apartment,29.7915,-96.159157,203 Maler Rd,Apt 11,Sealy,TX,77474,,1,1,576,1982,OAR Realty Partners,950,1.65,2025-03-29 04:26:05,2025-04-22 03:36:39,inactive,0.749,,,36
203 Maler Rd|Apt 33|2025-02-04 21:17:10,apartment,29.7915,-96.159157,203 Maler Rd,Apt 33,Sealy,TX,77474,,2,1,840,1982,OAR Realty Partners,1150,1.37,2025-02-04 21:17:10,2025-02-06 06:25:22,inactive,0.749,,,36
203 Maler Rd|Apt 35|2025-01-14 09:48:10,apartment,29.7915,-96.159157,203 Maler Rd,Apt 35,Sealy,TX,77474,,2,1,840,1982,OAR Realty Partners,1150,1.37,2025-01-14 09:48:10,2025-02-04 12:04:28,inactive,0.749,,,36
203 Maler Rd|Apt 6|2025-01-14 09:48:10,apartment,29.7915,-96.159157,203 Maler Rd,Apt 6,Sealy,TX,77474,,2,1,750,1982,OAR Realty Partners,1025,1.37,2025-01-14 09:48:10,2025-01-23 07:29:19,inactive,0.749,,,36
203 Maler Rd|Apt 20|2025-01-11 07:41:44,apartment,29.7915,-96.159157,203 Maler Rd,Apt 20,Sealy,TX,77474,,1,1,576,1982,OAR Realty Partners,950,1.65,2025-01-11 07:41:44,2025-01-21 03:51:16,inactive,0.749,,,36
203 Maler Rd|Apt 14|2024-11-20 07:19:02,apartment,29.7915,-96.159157,203 Maler Rd,Apt 14,Sealy,TX,77474,,1,1,576,1982,OAR Realty Partners,950,1.65,2024-11-20 07:19:02,2024-12-11 23:21:28,inactive,0.749,,,36
203 Maler Rd|Apt 7|2024-08-13 12:12:03,apartment,29.7915,-96.159157,203 Maler Rd,Apt 7,Sealy,TX,77474,,1,1,576,1982,OAR Realty Partners,900,1.56,2024-08-13 12:12:03,2024-08-20 05:21:54,inactive,0.749,,,36
1009 Gunnison St|Apt B|2025-03-19 13:38:39,apartment,29.771448,-96.170425,1009 Gunnison St,Apt B,Sealy,TX,77474,,2,1,900,1982,Oak Leaf Management,1021,1.13,2025-03-19 13:38:39,2025-04-02 13:33:57,inactive,1.023,,,56
1009 Gunnison St|Apt A|2025-02-14 20:16:46,apartment,29.771448,-96.170425,1009 Gunnison St,Apt A,Sealy,TX,77474,,2,1,900,1982,Oak Leaf Management,987,1.1,2025-02-14 20:16:46,2025-02-18 15:01:45,inactive,1.023,,,56
1007 Gunnison St|Apt A|2025-03-09 00:16:49,apartment,29.771593,-96.170593,1007 Gunnison St,Apt A,Sealy,TX,77474,,2,1,900,1982,Oak Leaf Management,1176,1.31,2025-03-09 00:16:49,2025-03-09 14:31:46,inactive,1.025,,,56
1005 Gunnison St|Apt D|2025-03-02 00:00:39,apartment,29.771725,-96.170753,1005 Gunnison St,Apt D,Sealy,TX,77474,,2,1,900,1982,Oak Leaf Management,1046,1.16,2025-03-02 00:00:39,2025-03-05 00:33:42,inactive,1.027,,,56
1501 Vail St|Apt C|2025-05-22 13:36:42,apartment,29.772346,-96.171417,1501 Vail St,Apt C,Sealy,TX,77474,,2,1,900,1982,Oak Leaf Management,1078,1.2,2025-05-22 13:36:42,2025-05-30 23:48:10,inactive,1.034,,,56
1501 Vail St|Apt D|2025-04-02 13:33:10,apartment,29.772346,-96.171417,1501 Vail St,Apt D,Sealy,TX,77474,,2,1,900,1982,Oak Leaf Management,1015,1.13,2025-04-02 13:33:10,2025-04-16 13:36:14,inactive,1.034,,,56
1012 Gunnison St|Apt D|2025-03-05 00:32:45,apartment,29.770803,-96.170517,1012 Gunnison St,Apt D,Sealy,TX,77474,,2,1,900,1982,Oak Leaf Management,1025,1.14,2025-03-05 00:32:45,2025-03-07 17:19:35,inactive,1.056,,,56
1012 Gunnison St|Apt B|2025-01-13 23:50:50,apartment,29.770803,-96.170517,1012 Gunnison St,Apt B,Sealy,TX,77474,,2,1,900,1982,Oak Leaf Management,1103,1.23,2025-01-13 23:50:50,2025-01-17 04:35:22,inactive,1.056,,,56
1505 Vail St|Apt D|2025-04-09 13:34:49,apartment,29.772064,-96.17173,1505 Vail St,Apt D,Sealy,TX,77474,,2,1,900,1982,Oak Leaf Management,1029,1.14,2025-04-09 13:34:49,2025-04-22 13:35:49,inactive,1.060,,,56
1006 Gunnison St|Apt C|2025-04-02 23:29:26,apartment,29.771221,-96.171013,1006 Gunnison St,Apt C,Sealy,TX,77474,,2,1,900,1982,Oak Leaf Management,1045,1.16,2025-04-02 23:29:26,2025-04-09 13:35:47,inactive,1.060,,,56
1505 Vail St|Apt B|2025-01-25 22:54:49,apartment,29.772064,-96.17173,1505 Vail St,Apt B,Sealy,TX,77474,,2,1,900,1982,Oak Leaf Management,1076,1.2,2025-01-25 22:54:49,2025-10-02 20:46:55,inactive,1.060,,,56
1505 Vail St|Apt A|2024-12-03 23:35:31,apartment,29.772064,-96.17173,1505 Vail St,Apt A,Sealy,TX,77474,,2,1,900,1982,Oak Leaf Management,1078,1.2,2024-12-03 23:35:31,2025-10-02 20:46:55,inactive,1.060,,,56
1002 Gunnison St|Apt D|2025-04-22 13:34:51,apartment,29.771492,-96.171341,1002 Gunnison St,Apt D,Sealy,TX,77474,,2,1,900,1982,Oak Leaf Management,908,1.01,2025-04-22 13:34:51,2025-04-26 20:54:07,inactive,1.064,,,56
1000 Gunnison St|Apt C|2025-04-16 13:35:17,apartment,29.771624,-96.171501,1000 Gunnison St,Apt C,Sealy,TX,77474,,2,1,900,1982,Oak Leaf Management,936,1.04,2025-04-16 13:35:17,2025-05-24 13:39:02,inactive,1.067,,,56
1000 Gunnison St|Apt A|2025-02-13 23:50:19,apartment,29.771624,-96.171501,1000 Gunnison St,Apt A,Sealy,TX,77474,,2,1,900,1982,Oak Leaf Management,1082,1.2,2025-02-13 23:50:19,2025-02-14 20:17:36,inactive,1.067,,,56
1000 Gunnison St|Apt D|2024-11-26 15:43:42,apartment,29.771624,-96.171501,1000 Gunnison St,Apt D,Sealy,TX,77474,,2,1,900,1982,Oak Leaf Management,1063,1.18,2024-11-26 15:43:42,2024-12-03 15:25:45,inactive,1.067,,,56
1507 Vail St|Apt A|2024-12-03 15:25:22,apartment,29.771927,-96.17189,1507 Vail St,Apt A,Sealy,TX,77474,,2,1,900,1982,Oak Leaf Management,996,1.11,2024-12-03 15:25:22,2025-10-10 13:35:15,inactive,1.073,,,56
430 Schmidt Rd|Unit A1|2026-06-25 00:13:59,apartment,29.754992,-96.153641,430 Schmidt Rd,Unit A1,Sealy,TX,77474,,2,2,906,2023,"Realty Consulting Services, Inc.",1395,1.54,2026-06-25 00:13:59,2026-07-10 06:41:29,inactive,1.796,,,16
430 Schmidt Rd|Unit B2|2026-03-07 05:04:27,apartment,29.754992,-96.153641,430 Schmidt Rd,Unit B2,Sealy,TX,77474,,2,2,906,2023,"Realty Consulting Services, Inc.",1395,1.54,2026-03-07 05:04:27,2026-03-13 03:00:05,inactive,1.796,,,16
430 Schmidt Rd|Unit B4|2026-01-15 06:28:50,apartment,29.754992,-96.153641,430 Schmidt Rd,Unit B4,Sealy,TX,77474,,2,2,906,2023,"Realty Consulting Services, Inc.",1395,1.54,2026-01-15 06:28:50,2026-02-03 18:33:25,inactive,1.796,,,16
430 Schmidt Rd|Unit A2|2025-11-12 01:23:38,apartment,29.754992,-96.153641,430 Schmidt Rd,Unit A2,Sealy,TX,77474,,2,2,906,2023,"Realty Consulting Services, Inc.",1395,1.54,2025-11-12 01:23:38,2026-02-25 10:43:10,inactive,1.796,,,16
430 Schmidt Rd|Unit B1|2025-05-21 23:08:15,apartment,29.754992,-96.153641,430 Schmidt Rd,Unit B1,Sealy,TX,77474,,2,2,906,2023,"Realty Consulting Services, Inc.",1325,1.46,2025-05-21 23:08:15,2025-06-12 05:02:12,inactive,1.796,,,16
430 Schmidt Rd|Unit A3|2025-04-10 22:20:55,apartment,29.754992,-96.153641,430 Schmidt Rd,Unit A3,Sealy,TX,77474,,2,2,906,2023,"Realty Consulting Services, Inc.",1325,1.46,2025-04-10 22:20:55,2025-06-18 00:24:15,inactive,1.796,,,16
430 Schmidt Rd|Unit B3|2025-04-10 22:20:54,apartment,29.754992,-96.153641,430 Schmidt Rd,Unit B3,Sealy,TX,77474,,2,2,906,2023,"Realty Consulting Services, Inc.",1325,1.46,2025-04-10 22:20:54,2025-04-19 01:01:45,inactive,1.796,,,16
