gl,account,code,count,source,conflicts
,*6805-1400 - Light Fixtures / Fans (Parts Only),rm,2,"Bryce - (Arlington, TX) - District on Collins",
,*6805-1410 - Cabinet Box Repairs/Repaint,rm,2,"Bryce - (Arlington, TX) - District on Collins",
,*6805-1450 - Cabinet Front Repairs/Repaint,rm,2,"Bryce - (Arlington, TX) - District on Collins",
,*6805-1750 - Minor Tub Repairs,rm,2,"Bryce - (Arlington, TX) - District on Collins",
,A/C Repairs,rm,2,"David - (McAllen, TX) - 3616 Harvey St",
,A4100106  Vacancy Loss,v,2,"Chris - (Alvin, TX) - Oak Park Village",
,AbIntbnance 5 Repairs,rm,2,"Danny - (Dallas, TX) - Magnolia on Gaston",
,AC - Amenity,oi,2,"Guillermo - (Allen, TX) - 301 Greenville",
,Accelerated Rent,oi,2,"Danny - (Manor, TX) - Flats at Shadowglen",
,Access Gate And Entry System Repairs,cs,2,"Dylan - (Fort Worth, TX) - The Stella",
,Access Gate Contract,cs,6,"Yonnic - (San Antonio, TX) - Seraphina Castle Hills",
,Access Gate Expense,rm,4,"Yonnic - (San Antonio, TX) - Seraphina Castle Hills",
,Access Gate Remote Income,oi,2,"Yonnic - (San Antonio, TX) - Seraphina Castle Hills",
,Access Gate Repairs,rm,2,"Bryce - (Springtown, TX) - North Park Townhomes",
,Accounting,ad,17,"Chris - (Dallas, TX) - HYA Live Oak Apartments",
,Accounting-AF Bill Pay,ad,2,"Guillermo - (Lubbock, TX) - Cottage Point",
,Accounting Expense,ad,9,"Yonnic - (Monroe, LA) - Seasons & Woodale",
,Accounting Expenses,ad,9,"David - (Odessa, TX) - East 12th Townhomes",
,Accounting Fees,mf,10,"Guillermo - (Lubbock, TX) - Cottage Point","recoded from 'ad' (standardized to majority ({'ad': 19, 'mf': 20}))"
,Accounting Income,oi,1,"paul - (Dallas, TX) - Estrella at Kiest",
,Accounting-Payroll,pr,2,"Chase - (Corsicana, TX) - Oak Lawn",
,Accounting-Payroll Services,pr,2,"Chase - (Corsicana, TX) - Oak Lawn",
,Accounting/Billing,ad,2,David - (Carrollton) - Marbella Villas at Indian Creek,
,Accounting/Bookkeeping,ad,2,"David - (Kingsville, TX) - SG Apartments",
,Ad Valorem Prop Taxes - Prior Year,tx,4,"Yonnic - (San Antonio, TX) - Seraphina Castle Hills",
,Ad Valorem Property Taxes,tx,18,"Yonnic - (San Antonio, TX) - Seraphina Castle Hills",
,Ad Valorem Tax,tx,2,"Guillermo - (Killeen, TX) - Battalion Heights",
,Add'l Repair,rm,3,"Bryce - (Denton, TX) - The Cluster Apartments",
,Additional Occupant Fee,oi,2,"Bryce - (San Antonio, TX) - Stone Chase",
,Additional Parking Pass,oi,2,"Guillermo - (Allen, TX) - 301 Greenville",
,Adjust Accrual To Cash,oi,2,"Will - (Overland Park, KS) - 87th Street Apartments",
,Adjustment Income,oi,4,"Greg - (Dallas, TX) - The Carolina",
,Admin,oi,2,"Chase - (Corsicana, TX) - Oak Lawn",
,Admin and Office,ad,2,"David - (Universal City, TX) - Falcon Apartments",
,Admin Appreciation Day,ad,2,"Will - (Kansas City, MO) - Province of Briarcliff",
,Admin Exp Reimb,ad,2,"Dylan - (Lubbock, TX) - Crest at Cooper",
,Admin Fee,oi,13,"Chris - (Dallas, TX) - HYA Live Oak Apartments",
,Admin Fee Expense,ad,2,"paul - (Dallas, TX) - Estrella at Kiest",
,Admin Fee Income,oi,2,"Jon - (DeSoto, TX) - Canyon Oaks",
,Admin Fee Non-Refundable,oi,4,"Angel - (Granbury, TX) - The Woods",
,Admin Fees,oi,9,"Yonnic - (Bryan, TX) - Retreat at 2818",
,Admin Fees Collected,oi,2,"David - (Greenville, TX) - Kingridge",
,Admin Other,ad,2,"Jon - (Lewisville, TX) - Vistas on the Park",
,Admin/Clerical Acf Fee,ad,4,"Dylan - (Denton, TX) - 1105 & 1109 Sleepy Hollow",
,Administration,ad,4,"Guillermo - (Garland, TX) - Bay Island",
,Administration Expense,ad,2,"Paul - (Lubbock, TX) - Dimora Village",
,Administration Fee,oi,14,"Will - (Overland Park, KS) - 87th Street Apartments",
,Administration Fee for MI,oi,4,"Emilio - (Dallas, TX) - Bella Vista Pointe",
,Administration Fee Income,oi,2,"Dylan - (Lubbock, TX) - Crest at Cooper",
,Administration Fees,oi,8,"Bryce - (Cleburne, TX) - Colonial",
,Administration Fees (Move In),oi,2,"David - (Kingsville, TX) - SG Apartments",
,Administrative / Accounting Fees,ad,2,"Paul - (Killeen, TX) - Dorel Killeen",
,Administrative Bonus,pr,2,"Will - (Kansas City, MO) - Province of Briarcliff",
,Administrative Charges (Move Out),oi,2,"David - (Kingsville, TX) - SG Apartments",
,ADMINISTRATIVE EXPENSE,ad,2,"David - (Midland, TX) - Ranchland Apartments",
,Administrative Expenses,ad,10,"Jackson - (Dallas, TX) - 4414 Worth St",
,Administrative Fee,oi,10,"Danny - (Manor, TX) - Flats at Shadowglen",1xrw
,Administrative Fee Income,oi,4,"Bryce - (Haltom City, TX) -  Loraine Place",
,Administrative Fee - Utilities,oi,5,"Yonnic - (Monroe, LA) - Seasons & Woodale",1xro
,Administrative Fees,oi,24,"Emilio - (Houston, TX) - Las Palmas",
,Administrative Income,oi,2,"Danny - (Dallas, TX) - The Link",
,Administrative Rent Allowance,nr,2,"Danny - (Manor, TX) - Flats at Shadowglen",
,Administrative/Forms,ad,4,"Greg - (Arlington, TX) - Stadium West",
,Admln and Of f Ice,ad,2,"David - (Universal City, TX) - Falcon Apartments",
,Advertising,m,77,"Trey - (Dallas, TX) - Ascent at Midtown",2xad
,Advertising and Promotion,m,3,"Yonnic - (Hallsville, TX) - Townhomes at Cider Point","recoded from 'ad' (standardized to majority ({'ad': 3, 'm': 4, 'pr': 2}))"
,Advertising and Promotions,m,1,"paul - (Dallas, TX) - Estrella at Kiest",
,Advertising - Electronic,m,4,"Guillermo - (Houston, TX) - Pines at Woodcreek",
,Advertising - Employee Recruiting,m,1,"Chris - (Webster, TX) - The Townhomes on Three",
,Advertising - Flyers/Brochures,m,1,"Chris - (Webster, TX) - The Townhomes on Three",
,Advertising - Internet,m,11,"Will - (Overland Park, KS) - 87th Street Apartments",
,Advertising - Locator Fee,m,1,"Chris - (Webster, TX) - The Townhomes on Three",
,Advertising & Marketing,m,18,"Trey - (Duncanville, TX) - Sunset Villa",
,Advertising-Online,m,4,"Greg - (Dallas, TX) - The Carolina",
,Advertising Other,m,6,"Danny - (Houston, TX) - Ivy at the Galleria",
,Advertising - Print,m,2,"Guillermo - (Dallas, TX) - Pearl at Midtown",
,Advertising & Promotion,m,8,"Jackson - (Pilot Knob, MO) - Countryside Apartments",
,Advertising - Property,m,2,"Guillermo - (Temple, TX) - Greenbrier Park Apartments",
,Advertising - Resident Referral,m,1,"Chris - (Webster, TX) - The Townhomes on Three",
,Advertising Signs/Banners,m,3,"Yonnic - (Monroe, LA) - Seasons & Woodale",
,Advertising/Promotional,m,2,"Jon - (Copperas Cove, TX) - The Bricks",
,After School Program Teacher,pr,4,"Emilio - (Dallas, TX) - Bella Vista Pointe",
,Agent Commissions,ad,2,"Jon - (Dallas, TX) - 615 N Marsalis Ave",
,Air Con/Htg Repairs/Supplies,rm,4,"Will - (Overland Park, KS) - 87th Street Apartments",
,Air Duct Cleaning,rm,2,"Dylan - (Fort Worth, TX) - The Stella",
